"res","h3_address","lng","lat"
3,"830000fffffffff",38.023,79.242
3,"830001fffffffff",34.269,80.117
3,"830002fffffffff",43.751,79.248
3,"830003fffffffff",40.495,80.191
3,"830004fffffffff",35.976,78.29
3,"830005fffffffff",32.414,79.135
3,"830006fffffffff",41.201,78.332
3,"830008fffffffff",31.757,81.957
3,"830009fffffffff",25.863,82.748
3,"83000afffffffff",39.444,82.075
3,"83000bfffffffff",34.294,82.972
3,"83000cfffffffff",29.808,80.943
3,"83000dfffffffff",24.492,81.706
3,"83000efffffffff",36.559,81.099
3,"830010fffffffff",51.705,78.128
3,"830011fffffffff",49.484,79.147
3,"830012fffffffff",56.811,77.882
3,"830013fffffffff",55.111,78.94
3,"830014fffffffff",48.773,77.292
3,"830015fffffffff",46.473,78.279
3,"830016fffffffff",53.569,77.099
3,"830018fffffffff",50.505,81.029
3,"830019fffffffff",47.3,82.048
3,"83001afffffffff",57.298,80.8
3,"83001bfffffffff",55.035,81.874
3,"83001cfffffffff",46.805,80.15
3,"83001dfffffffff",43.524,81.129
3,"83001efffffffff",53.049,79.991
3,"830020fffffffff",29.599,77.184
3,"830021fffffffff",25.991,77.937
3,"830022fffffffff",34.256,77.338
3,"830023fffffffff",30.882,78.156
3,"830024fffffffff",28.508,76.221
3,"830025fffffffff",25.128,76.954
3,"830026fffffffff",32.793,76.39
3,"830028fffffffff",22.6,79.65
3,"830029fffffffff",17.555,80.301
3,"83002afffffffff",28.268,79.933
3,"83002bfffffffff",23.437,80.673
3,"83002cfffffffff",21.92,78.638
3,"83002dfffffffff",17.34,79.278
3,"83002efffffffff",27.021,78.93
3,"830030fffffffff",41.707,76.503
3,"830031fffffffff",39.047,77.41
3,"830032fffffffff",46.235,76.439
3,"830033fffffffff",43.909,77.395
3,"830034fffffffff",39.802,75.606
3,"830035fffffffff",37.209,76.486
3,"830036fffffffff",44.025,75.575
3,"830040fffffffff",-7.319,83.658
3,"830041fffffffff",-17.325,83.742
3,"830042fffffffff",-0.405,84.42
3,"830043fffffffff",-11.831,84.622
3,"830044fffffffff",-4.039,82.675
3,"830045fffffffff",-12.635,82.835
3,"830046fffffffff",2.174,83.389
