"res","h3_address","lng","lat"
3,"830048fffffffff",-34.799,84.363
3,"830049fffffffff",-44.7,83.933
3,"83004afffffffff",-32.213,85.38
3,"83004bfffffffff",-44.431,84.97
3,"83004cfffffffff",-27.262,83.636
3,"83004dfffffffff",-36.574,83.351
3,"83004efffffffff",-23.61,84.602
3,"830050fffffffff",19.282,84.516
3,"830051fffffffff",8.637,85.085
3,"830052fffffffff",30.346,84.847
3,"830053fffffffff",20.257,85.597
3,"830054fffffffff",18.634,83.445
3,"830055fffffffff",9.876,84.015
3,"830056fffffffff",27.715,83.797
3,"830058fffffffff",-10.175,86.448
3,"830059fffffffff",-28.117,86.396
3,"83005afffffffff",3.185,87.239
3,"83005bfffffffff",-20.766,87.391
3,"83005cfffffffff",-4.182,85.445
3,"83005dfffffffff",-18.323,85.549
3,"83005efffffffff",6.687,86.161
3,"830060fffffffff",-6.231,80.954
3,"830061fffffffff",-13.109,81.089
3,"830062fffffffff",-1.561,81.684
3,"830063fffffffff",-9.046,81.901
3,"830064fffffffff",-3.975,80
3,"830065fffffffff",-10.137,80.184
3,"830066fffffffff",0.37,80.694
3,"830068fffffffff",-24.498,81.905
3,"830069fffffffff",-31.923,81.695
3,"83006afffffffff",-21.393,82.831
3,"83006bfffffffff",-29.915,82.664
3,"83006cfffffffff",-20.077,81.096
3,"83006dfffffffff",-26.932,80.975
3,"83006efffffffff",-16.782,81.976
3,"830070fffffffff",11.361,81.906
3,"830071fffffffff",4.039,82.359
3,"830072fffffffff",18.171,82.385
3,"830073fffffffff",10.733,82.955
3,"830074fffffffff",11.84,80.868
3,"830075fffffffff",5.448,81.335
3,"830076fffffffff",17.824,81.337
3,"830080fffffffff",74.88,77.153
3,"830081fffffffff",74.985,78.28
3,"830082fffffffff",78.933,76.506
3,"830083fffffffff",79.407,77.629
3,"830084fffffffff",70.739,76.611
3,"830085fffffffff",70.455,77.729
3,"830086fffffffff",74.793,76.032
3,"830088fffffffff",80.677,79.89
3,"830089fffffffff",81.554,81.025
3,"83008afffffffff",85.42,79.149
3,"83008bfffffffff",86.787,80.269
3,"83008cfffffffff",75.112,79.412
3,"83008dfffffffff",75.269,80.549
3,"83008efffffffff",79.977,78.758
3,"830090fffffffff",81.965,74.686
3,"830091fffffffff",82.622,75.796
3,"830092fffffffff",85.105,73.934
3,"830093fffffffff",85.968,75.032
3,"830094fffffffff",78.19,74.277
3,"830095fffffffff",78.533,75.388
3,"830096fffffffff",81.399,73.582
3,"830098fffffffff",88.153,77.238
3,"830099fffffffff",89.561,78.341
3,"83009afffffffff",91.553,76.393
3,"83009bfffffffff",93.171,77.477
3,"83009cfffffffff",83.393,76.911
3,"83009dfffffffff",84.311,78.029
3,"83009efffffffff",86.972,76.134
3,"8300a0fffffffff",62.716,76.456
3,"8300a1fffffffff",61.72,77.543
3,"8300a2fffffffff",66.973,76.014
3,"8300a3fffffffff",66.375,77.117
3,"8300a4fffffffff",59.443,75.756
3,"8300a5fffffffff",58.235,76.82
3,"8300a6fffffffff",63.563,75.373
3,"8300a8fffffffff",64.799,79.335
3,"8300a9fffffffff",63.734,80.446
3,"8300aafffffffff",70.112,78.852
3,"8300abfffffffff",69.693,79.98
3,"8300acfffffffff",60.53,78.631
3,"8300adfffffffff",59.085,79.717
3,"8300aefffffffff",65.662,78.224
3,"8300b0fffffffff",71.184,74.395
3,"8300b1fffffffff",70.979,75.499
3,"8300b2fffffffff",74.655,73.812
3,"8300b3fffffffff",74.719,74.918
3,"8300b4fffffffff",67.922,73.826
3,"8300b5fffffffff",67.483,74.917
3,"8300b6fffffffff",71.361,73.298
3,"8300c0fffffffff",76.638,85.122
3,"8300c1fffffffff",77.504,86.267
3,"8300c2fffffffff",86.328,84.421
3,"8300c3fffffffff",89.524,85.538
3,"8300c4fffffffff",66.277,84.51
3,"8300c5fffffffff",64.316,85.639
3,"8300c6fffffffff",76.101,83.977
3,"8300c8fffffffff",104.96,87.668
3,"8300c9fffffffff",128.641,88.526
3,"8300cafffffffff",114.25,86.637
3,"8300cbfffffffff",130.961,87.407
3,"8300ccfffffffff",79.131,87.409
3,"8300cdfffffffff",83.295,88.543
3,"8300cefffffffff",94.816,86.631
3,"8300d0fffffffff",90.745,82.495
3,"8300d1fffffffff",93.75,83.591
3,"8300d2fffffffff",96.017,81.613
3,"8300d3fffffffff",99.441,82.672
3,"8300d4fffffffff",82.685,82.159
3,"8300d5fffffffff",84.2,83.293
3,"8300d6fffffffff",88.51,81.386
3,"8300d8fffffffff",110.265,84.67
3,"8300d9fffffffff",119.147,85.551
3,"8300dafffffffff",114.337,83.602
3,"8300dbfffffffff",122.129,84.437
3,"8300dcfffffffff",97.975,84.663
3,"8300ddfffffffff",104.26,85.692
3,"8300defffffffff",103.999,83.698
3,"8300e0fffffffff",48.116,83.97
3,"8300e1fffffffff",42.541,84.966
3,"8300e2fffffffff",58.256,83.765
3,"8300e3fffffffff",54.872,84.851
3,"8300e4fffffffff",43.17,83.037
3,"8300e5fffffffff",37.717,83.979
3,"8300e6fffffffff",52.088,82.934
3,"8300e8fffffffff",41.113,86.912
3,"8300e9fffffffff",25.141,87.781
3,"8300eafffffffff",60.998,86.759
3,"8300ebfffffffff",54.25,87.856
3,"8300ecfffffffff",34.356,85.891
3,"8300edfffffffff",21.884,86.687
3,"8300eefffffffff",49.716,85.909
3,"8300f0fffffffff",68.484,82.244
3,"8300f1fffffffff",67.569,83.377
3,"8300f2fffffffff",75.47,81.69
3,"8300f3fffffffff",75.735,82.833
3,"8300f4fffffffff",62.387,81.557
3,"8300f5fffffffff",60.633,82.665
3,"8300f6fffffffff",69.166,81.111
3,"830100fffffffff",28.643,72.68
3,"830101fffffffff",26.045,73.396
3,"830102fffffffff",31.974,72.831
3,"830103fffffffff",29.487,73.593
3,"830104fffffffff",27.893,71.78
3,"830105fffffffff",25.416,72.478
3,"830106fffffffff",31.027,71.938
3,"830108fffffffff",23.763,75.024
3,"830109fffffffff",20.481,75.681
3,"83010afffffffff",27.571,75.268
3,"83010bfffffffff",24.394,75.982
3,"83010cfffffffff",23.214,74.078
3,"83010dfffffffff",20.132,74.723
3,"83010efffffffff",26.758,74.326
3,"830110fffffffff",37.519,72.101
3,"830111fffffffff",35.39,72.928
3,"830112fffffffff",40.841,72.1
3,"830113fffffffff",38.869,72.966
3,"830114fffffffff",36.311,71.241
3,"830115fffffffff",34.241,72.046
3,"830116fffffffff",39.453,71.258
3,"830118fffffffff",34.247,74.646
3,"830119fffffffff",31.535,75.449
3,"83011afffffffff",38.14,74.71
3,"83011bfffffffff",35.625,75.563
3,"83011cfffffffff",33.04,73.734
3,"83011dfffffffff",30.443,74.516
3,"83011efffffffff",36.681,73.816
3,"830120fffffffff",24.355,70.684
3,"830121fffffffff",21.926,71.325
3,"830122fffffffff",27.223,70.892
3,"830123fffffffff",24.856,71.574
3,"830124fffffffff",23.904,69.808
3,"830125fffffffff",21.586,70.436
3,"830126fffffffff",26.619,70.016
3,"830128fffffffff",19.562,72.849
3,"830129fffffffff",16.614,73.433
3,"83012afffffffff",22.732,73.146
3,"83012bfffffffff",19.829,73.779
3,"83012cfffffffff",19.325,71.935
3,"83012dfffffffff",16.543,72.51
3,"83012efffffffff",22.306,72.228
3,"830130fffffffff",32.289,70.309
3,"830131fffffffff",30.18,71.056
3,"830132fffffffff",35.222,70.389
3,"830133fffffffff",33.214,71.173
3,"830134fffffffff",31.454,69.456
3,"830135fffffffff",29.418,70.184
3,"830136fffffffff",34.237,69.545
3,"830140fffffffff",5.106,76.793
3,"830141fffffffff",0.691,77.149
3,"830142fffffffff",8.76,77.336
3,"830143fffffffff",4.222,77.755
3,"830144fffffffff",5.862,75.842
3,"830145fffffffff",1.794,76.211
3,"830146fffffffff",9.272,76.365
3,"830148fffffffff",-5.659,78.348
3,"830149fffffffff",-10.888,78.509
3,"83014afffffffff",-2.132,79.046
3,"83014bfffffffff",-7.694,79.268
3,"83014cfffffffff",-3.94,77.427
3,"83014dfffffffff",-8.739,77.622
3,"83014efffffffff",-0.6,78.094
3,"830150fffffffff",17.017,77.272
3,"830151fffffffff",12.776,77.831
3,"830152fffffffff",21.358,77.639
3,"830153fffffffff",17.164,78.268
3,"830154fffffffff",16.893,76.291
3,"830155fffffffff",12.987,76.845
3,"830156fffffffff",20.885,76.653
3,"830158fffffffff",7.432,79.313
3,"830159fffffffff",1.913,79.707
3,"83015afffffffff",12.218,79.843
3,"83015bfffffffff",6.549,80.319
3,"83015cfffffffff",8.156,78.319
3,"83015dfffffffff",3.174,78.727
3,"83015efffffffff",12.523,78.83
3,"830160fffffffff",3.573,74.365
3,"830161fffffffff",-0.101,74.694
3,"830162fffffffff",6.516,74.903
3,"830163fffffffff",2.745,75.283
3,"830164fffffffff",4.302,73.458
3,"830165fffffffff",0.868,73.798
3,"830166fffffffff",7.086,73.977
3,"830168fffffffff",-5.305,75.845
3,"830169fffffffff",-9.091,75.871
3,"83016afffffffff",-2.471,76.51
3,"83016bfffffffff",-6.897,76.734
3,"83016cfffffffff",-3.819,74.919
3,"83016dfffffffff",-7.345,74.962
3,"83016efffffffff",-1.205,75.598
3,"830170fffffffff",13.323,74.916
3,"830171fffffffff",9.71,75.408
3,"830172fffffffff",16.787,75.323
3,"830173fffffffff",13.167,75.873
3,"830174fffffffff",13.458,73.973
3,"830175fffffffff",10.091,74.465
3,"830176fffffffff",16.695,74.371
3,"830180fffffffff",52.907,72.512
3,"830181fffffffff",51.545,73.501
3,"830182fffffffff",56.318,72.244
3,"830183fffffffff",55.182,73.258
3,"830184fffffffff",50.845,71.753
3,"830185fffffffff",49.431,72.718
3,"830186fffffffff",54.118,71.521
3,"830188fffffffff",52.426,75.285
3,"830189fffffffff",50.735,76.292
3,"83018afffffffff",56.516,75.026
3,"83018bfffffffff",55.154,76.064
3,"83018cfffffffff",50.003,74.488
3,"83018dfffffffff",48.248,75.468
3,"83018efffffffff",53.895,74.272
3,"830190fffffffff",60.452,70.888
3,"830191fffffffff",59.643,71.917
3,"830192fffffffff",63.481,70.49
3,"830193fffffffff",62.863,71.532
3,"830194fffffffff",58.228,70.224
3,"830195fffffffff",57.327,71.232
3,"830196fffffffff",61.176,69.865
3,"830198fffffffff",61.381,73.635
3,"830199fffffffff",60.481,74.694
3,"83019afffffffff",64.922,73.219
3,"83019bfffffffff",64.29,74.293
3,"83019cfffffffff",58.731,72.95
3,"83019dfffffffff",57.697,73.987
3,"83019efffffffff",62.169,72.581
3,"8301a0fffffffff",45.804,71.132
3,"8301a1fffffffff",44.184,72.043
3,"8301a2fffffffff",48.972,70.987
3,"8301a3fffffffff",47.526,71.927
3,"8301a4fffffffff",44.241,70.335
3,"8301a5fffffffff",42.624,71.222
3,"8301a6fffffffff",47.268,70.215
3,"8301a8fffffffff",44.114,73.79
3,"8301a9fffffffff",42.089,74.706
3,"8301aafffffffff",47.845,73.679
3,"8301abfffffffff",46.055,74.632
3,"8301acfffffffff",42.386,72.945
3,"8301adfffffffff",40.382,73.836
3,"8301aefffffffff",45.916,72.863
3,"8301b0fffffffff",53.251,69.82
3,"8301b1fffffffff",52.111,70.787
3,"8301b2fffffffff",56.078,69.549
3,"8301b3fffffffff",55.202,70.532
3,"8301b4fffffffff",51.026,69.097
3,"8301b5fffffffff",50.276,70.044
3,"8301b6fffffffff",53.78,68.857
3,"830200fffffffff",-107.429,79.221
3,"830201fffffffff",-102.594,78.731
3,"830202fffffffff",-112.051,78.569
3,"830203fffffffff",-107.313,78.153
3,"830204fffffffff",-107.571,80.289
3,"830205fffffffff",-102.258,79.796
3,"830206fffffffff",-112.679,79.629
3,"830208fffffffff",-98.752,77.084
3,"830209fffffffff",-94.947,76.446
3,"83020afffffffff",-103.116,76.568
3,"83020bfffffffff",-99.283,75.994
3,"83020cfffffffff",-98.133,78.162
3,"83020dfffffffff",-94.05,77.522
3,"83020efffffffff",-102.876,77.655
3,"830210fffffffff",-121.082,78.106
3,"830211fffffffff",-116.165,77.852
3,"830212fffffffff",-124.509,77.266
3,"830213fffffffff",-119.815,77.08
3,"830214fffffffff",-122.602,79.136
3,"830215fffffffff",-117.162,78.897
3,"830216fffffffff",-126.233,78.273
3,"830218fffffffff",-111.154,76.43
3,"830219fffffffff",-107.131,75.986
3,"83021afffffffff",-114.714,75.733
3,"83021bfffffffff",-110.802,75.345
3,"83021cfffffffff",-111.561,77.506
3,"83021dfffffffff",-107.215,77.074
3,"83021efffffffff",-115.367,76.802
3,"830220fffffffff",-101.191,81.937
3,"830221fffffffff",-95.358,81.329
3,"830222fffffffff",-107.749,81.368
3,"830223fffffffff",-101.797,80.861
3,"830224fffffffff",-100.393,83.021
3,"830225fffffffff",-93.789,82.386
3,"830226fffffffff",-107.98,82.456
3,"830228fffffffff",-91.747,79.631
3,"830229fffffffff",-87.513,78.911
3,"83022afffffffff",-97.399,79.228
3,"83022bfffffffff",-92.998,78.584
3,"83022cfffffffff",-90.239,80.661
3,"83022dfffffffff",-85.701,79.929
3,"83022efffffffff",-96.516,80.281
3,"830230fffffffff",-119.887,81.007
3,"830231fffffffff",-113.456,80.699
3,"830232fffffffff",-124.455,80.169
3,"830233fffffffff",-118.376,79.95
3,"830234fffffffff",-121.816,82.066
3,"830235fffffffff",-114.444,81.776
3,"830236fffffffff",-126.761,81.198
3,"830240fffffffff",-81.178,74.397
3,"830241fffffffff",-78.691,73.505
3,"830242fffffffff",-85.348,74.195
3,"830243fffffffff",-82.691,73.353
3,"830244fffffffff",-79.47,75.42
3,"830245fffffffff",-76.923,74.517
3,"830246fffffffff",-83.929,75.249
3,"830248fffffffff",-78.061,71.558
3,"830249fffffffff",-76.043,70.615
3,"83024afffffffff",-81.687,71.42
3,"83024bfffffffff",-79.527,70.516
3,"83024cfffffffff",-76.439,72.581
3,"83024dfffffffff",-74.396,71.627
3,"83024efffffffff",-80.27,72.472
3,"830250fffffffff",-92.428,74.663
3,"830251fffffffff",-89.393,73.917
3,"830252fffffffff",-96.395,74.257
3,"830253fffffffff",-93.281,73.566
3,"830254fffffffff",-91.455,75.748
3,"830255fffffffff",-88.262,74.995
3,"830256fffffffff",-95.721,75.357
3,"830258fffffffff",-87.719,72.039
3,"830259fffffffff",-85.248,71.213
3,"83025afffffffff",-91.282,71.721
3,"83025bfffffffff",-88.718,70.941
3,"83025cfffffffff",-86.603,73.125
3,"83025dfffffffff",-84.04,72.291
3,"83025efffffffff",-90.393,72.825
3,"830260fffffffff",-72.691,76.464
3,"830261fffffffff",-70.382,75.502
3,"830262fffffffff",-77.531,76.421
3,"830263fffffffff",-74.936,75.505
3,"830264fffffffff",-70.142,77.391
3,"830265fffffffff",-67.86,76.414
3,"830266fffffffff",-75.316,77.394
3,"830268fffffffff",-70.571,73.579
3,"830269fffffffff",-68.729,72.576
3,"83026afffffffff",-74.637,73.581
3,"83026bfffffffff",-72.58,72.616
3,"83026cfffffffff",-68.343,74.512
3,"83026dfffffffff",-66.533,73.498
3,"83026efffffffff",-72.629,74.556
3,"830270fffffffff",-85.489,77.104
3,"830271fffffffff",-82.312,76.284
3,"830272fffffffff",-90.337,76.818
3,"830273fffffffff",-86.972,76.059
3,"830274fffffffff",-83.768,78.131
3,"830275fffffffff",-80.458,77.298
3,"830276fffffffff",-89.038,77.874
3,"830280fffffffff",-130.744,73.613
3,"830281fffffffff",-127.004,73.566
3,"830282fffffffff",-132.776,72.684
3,"830283fffffffff",-129.218,72.68
3,"830284fffffffff",-132.47,74.546
3,"830285fffffffff",-128.47,74.522
3,"830286fffffffff",-134.528,73.593
3,"830288fffffffff",-122.446,72.361
3,"830289fffffffff",-119.165,72.086
3,"83028afffffffff",-124.72,71.543
3,"83028bfffffffff",-121.572,71.303
3,"83028cfffffffff",-123.419,73.408
3,"83028dfffffffff",-119.942,73.156
3,"83028efffffffff",-125.769,72.577
3,"830290fffffffff",-137.996,71.646
3,"830291fffffffff",-134.601,71.74
3,"830292fffffffff",-139.465,70.659
3,"830293fffffffff",-136.244,70.784
3,"830294fffffffff",-139.939,72.501
3,"830295fffffffff",-136.359,72.625
3,"830296fffffffff",-141.376,71.49
3,"830298fffffffff",-129.817,70.866
3,"830299fffffffff",-126.789,70.708
3,"83029afffffffff",-131.597,69.967
3,"83029bfffffffff",-128.675,69.859
3,"83029cfffffffff",-131.215,71.774
3,"83029dfffffffff",-127.893,71.729
3,"83029efffffffff",-133.021,70.853
3,"8302a0fffffffff",-132.075,76.434
3,"8302a1fffffffff",-127.51,76.388
3,"8302a2fffffffff",-134.436,75.475
3,"8302a3fffffffff",-130.146,75.479
3,"8302a4fffffffff",-134.315,77.383
3,"8302a5fffffffff",-129.364,77.369
3,"8302a6fffffffff",-136.69,76.396
3,"8302a8fffffffff",-121.801,75.262
3,"8302a9fffffffff",-117.923,74.992
3,"8302aafffffffff",-124.542,74.429
3,"8302abfffffffff",-120.814,74.215
3,"8302acfffffffff",-123.05,76.262
3,"8302adfffffffff",-118.766,76.051
3,"8302aefffffffff",-125.92,75.407
3,"8302b0fffffffff",-140.533,74.373
3,"8302b1fffffffff",-136.504,74.497
3,"8302b2fffffffff",-142.102,73.346
3,"8302b3fffffffff",-138.325,73.504
3,"8302b4fffffffff",-143.02,75.228
3,"8302b5fffffffff",-138.744,75.391
3,"8302b6fffffffff",-144.517,74.176
3,"8302c0fffffffff",-106.889,71.547
3,"8302c1fffffffff",-103.92,71.004
3,"8302c2fffffffff",-109.775,70.918
3,"8302c3fffffffff",-106.844,70.419
3,"8302c4fffffffff",-106.938,72.668
3,"8302c5fffffffff",-103.796,72.132
3,"8302c6fffffffff",-109.987,72.036
3,"8302c8fffffffff",-101.34,69.272
3,"8302c9fffffffff",-98.776,68.628
3,"8302cafffffffff",-104.13,68.731
3,"8302cbfffffffff",-101.568,68.129
3,"8302ccfffffffff",-101.089,70.41
3,"8302cdfffffffff",-98.398,69.768
3,"8302cefffffffff",-104.031,69.87
3,"8302d0fffffffff",-115.427,70.656
3,"8302d1fffffffff",-112.461,70.252
3,"8302d2fffffffff",-117.843,69.92
3,"8302d3fffffffff",-114.958,69.553
3,"8302d4fffffffff",-115.949,71.753
3,"8302d5fffffffff",-112.813,71.363
3,"8302d6fffffffff",-118.469,71.007
3,"8302d8fffffffff",-109.411,68.666
3,"8302d9fffffffff",-106.768,68.15
3,"8302dafffffffff",-111.856,68.012
3,"8302dbfffffffff",-109.255,67.533
3,"8302dcfffffffff",-109.584,69.795
3,"8302ddfffffffff",-106.804,69.287
3,"8302defffffffff",-112.144,69.134
3,"8302e0fffffffff",-103.501,74.367
3,"8302e1fffffffff",-100.142,73.785
3,"8302e2fffffffff",-106.994,73.782
3,"8302e3fffffffff",-103.658,73.253
3,"8302e4fffffffff",-103.322,75.472
3,"8302e5fffffffff",-99.742,74.894
3,"8302e6fffffffff",-107.058,74.888
3,"8302e8fffffffff",-97.511,72.029
3,"8302e9fffffffff",-94.706,71.34
3,"8302eafffffffff",-100.809,71.542
3,"8302ebfffffffff",-97.979,70.902
3,"8302ecfffffffff",-96.987,73.147
3,"8302edfffffffff",-94.035,72.458
3,"8302eefffffffff",-100.495,72.667
3,"8302f0fffffffff",-113.647,73.565
3,"8302f1fffffffff",-110.226,73.146
3,"8302f2fffffffff",-116.53,72.842
3,"8302f3fffffffff",-113.206,72.468
3,"8302f4fffffffff",-114.146,74.654
3,"8302f5fffffffff",-110.495,74.25
3,"8302f6fffffffff",-117.184,73.922
3,"830300fffffffff",-110.585,86.89
3,"830301fffffffff",-95.096,86.305
3,"830302fffffffff",-124.099,86.114
3,"830303fffffffff",-109.413,85.771
3,"830304fffffffff",-113.09,88.012
3,"830305fffffffff",-90.317,87.394
3,"830306fffffffff",-131.188,87.165
3,"830308fffffffff",-88.79,84.498
3,"830309fffffffff",-82.12,83.699
3,"83030afffffffff",-99.292,84.112
3,"83030bfffffffff",-91.7,83.444
3,"83030cfffffffff",-84.487,85.539
3,"83030dfffffffff",-77.228,84.677
3,"83030efffffffff",-97.68,85.208
3,"830310fffffffff",-145.914,85.101
3,"830311fffffffff",-132.84,85.192
3,"830312fffffffff",-149.386,84.006
3,"830313fffffffff",-138.705,84.191
3,"830314fffffffff",-156.221,85.905
3,"830315fffffffff",-140.508,86.165
3,"830316fffffffff",-158.033,84.768
3,"830318fffffffff",-117.514,83.947
3,"830319fffffffff",-108.292,83.553
3,"83031afffffffff",-124.355,83.123
3,"83031bfffffffff",-115.741,82.86
3,"83031cfffffffff",-120.079,85.035
3,"83031dfffffffff",-108.734,84.659
3,"83031efffffffff",-127.833,84.169
3,"830320fffffffff",-35.532,89.242
3,"830321fffffffff",-41.705,88.16
3,"830322fffffffff",-122.073,89.126
3,"830323fffffffff",-78.847,88.445
3,"830324fffffffff",34.74,88.863
3,"830325fffffffff",-4.82,88.303
3,"830326fffffffff",112.804,89.619
3,"830328fffffffff",-59.523,86.439
3,"830329fffffffff",-56.368,85.404
3,"83032afffffffff",-77.59,86.545
3,"83032bfffffffff",-70.166,85.606
3,"83032cfffffffff",-43.291,87.084
3,"83032dfffffffff",-44.016,86.021
3,"83032efffffffff",-65.321,87.467
3,"830330fffffffff",-173.914,87.653
3,"830331fffffffff",-146.114,88.129
3,"830332fffffffff",-170.881,86.521
3,"830333fffffffff",-153.044,87.03
3,"830334fffffffff",157.08,87.81
3,"830335fffffffff",177.587,88.762
3,"830336fffffffff",169.951,86.831
3,"830340fffffffff",-62.403,80.919
3,"830341fffffffff",-60.101,79.921
3,"830342fffffffff",-69.392,81.054
3,"830343fffffffff",-66.402,80.106
3,"830344fffffffff",-57.719,81.67
3,"830345fffffffff",-55.727,80.656
3,"830346fffffffff",-65.228,81.888
3,"830348fffffffff",-61.816,78.12
3,"830349fffffffff",-60.03,77.092
3,"83034afffffffff",-67.237,78.28
3,"83034bfffffffff",-65.02,77.289
3,"83034cfffffffff",-58.196,78.901
3,"83034dfffffffff",-56.597,77.86
3,"83034efffffffff",-63.913,79.126
3,"830350fffffffff",-80.841,81.89
3,"830351fffffffff",-76.502,81.056
3,"830352fffffffff",-88.323,81.676
3,"830353fffffffff",-83.517,80.923
3,"830354fffffffff",-77.057,82.845
3,"830355fffffffff",-73.028,81.963
3,"830356fffffffff",-85.66,82.694
3,"830358fffffffff",-75.815,79.245
3,"830359fffffffff",-72.77,78.336
3,"83035afffffffff",-81.752,79.134
3,"83035bfffffffff",-78.314,78.286
3,"83035cfffffffff",-72.877,80.17
3,"83035dfffffffff",-69.826,79.243
3,"83035efffffffff",-79.364,80.111
3,"830360fffffffff",-45.028,81.901
3,"830361fffffffff",-44.368,80.856
3,"830362fffffffff",-52.07,82.344
3,"830363fffffffff",-50.721,81.32
3,"830364fffffffff",-37.865,82.348
3,"830365fffffffff",-38.676,81.345
3,"830366fffffffff",-44.889,82.91
3,"830368fffffffff",-48.526,79.222
3,"830369fffffffff",-47.708,78.154
3,"83036afffffffff",-54.11,79.623
3,"83036bfffffffff",-52.772,78.573
3,"83036cfffffffff",-43.838,79.798
3,"83036dfffffffff",-43.402,78.731
3,"83036efffffffff",-49.511,80.278
3,"830370fffffffff",-62.231,83.647
3,"830371fffffffff",-59.905,82.661
3,"830372fffffffff",-72.101,83.767
3,"830373fffffffff",-68.342,82.833
3,"830374fffffffff",-54.395,84.374
3,"830375fffffffff",-53.047,83.353
3,"830376fffffffff",-65.451,84.633
3,"830380fffffffff",-149.994,79.87
3,"830381fffffffff",-143.737,80.127
3,"830382fffffffff",-151.453,78.756
3,"830383fffffffff",-145.846,79.051
3,"830384fffffffff",-154.877,80.634
3,"830385fffffffff",-148.179,80.976
3,"830386fffffffff",-155.927,79.497
3,"830388fffffffff",-134.15,79.312
3,"830389fffffffff",-128.298,79.277
3,"83038afffffffff",-136.939,78.319
3,"83038bfffffffff",-131.548,78.346
3,"83038cfffffffff",-137.289,80.263
3,"83038dfffffffff",-130.808,80.276
3,"83038efffffffff",-140.04,79.237
3,"830390fffffffff",-157.47,77.219
3,"830391fffffffff",-152.652,77.637
3,"830392fffffffff",-158.053,76.08
3,"830393fffffffff",-153.652,76.516
3,"830394fffffffff",-161.744,77.866
3,"830395fffffffff",-156.774,78.358
3,"830396fffffffff",-161.989,76.715
3,"830398fffffffff",-144.218,77.132
3,"830399fffffffff",-139.292,77.304
3,"83039afffffffff",-145.834,76.062
3,"83039bfffffffff",-141.296,76.272
3,"83039cfffffffff",-147.578,77.963
3,"83039dfffffffff",-142.314,78.192
3,"83039efffffffff",-149.025,76.868
3,"8303a0fffffffff",-160.018,82.476
3,"8303a1fffffffff",-151.787,82.892
3,"8303a2fffffffff",-160.619,81.325
3,"8303a3fffffffff",-153.542,81.767
3,"8303a4fffffffff",-167.768,83.076
3,"8303a5fffffffff",-159.202,83.625
3,"8303a6fffffffff",-167.317,81.92
3,"8303a8fffffffff",-137.818,82.222
3,"8303a9fffffffff",-129.695,82.219
3,"8303aafffffffff",-141.125,81.186
3,"8303abfffffffff",-133.911,81.26
3,"8303acfffffffff",-142.833,83.145
3,"8303adfffffffff",-133.531,83.222
3,"8303aefffffffff",-145.867,82.069
3,"8303b0fffffffff",-166.715,79.604
3,"8303b1fffffffff",-161.081,80.172
3,"8303b2fffffffff",-166.503,78.445
3,"8303b3fffffffff",-161.447,79.019
3,"8303b4fffffffff",-172.592,80.096
3,"8303b5fffffffff",-166.979,80.762
3,"8303b6fffffffff",-171.76,78.943
3,"830400fffffffff",145.356,74.928
3,"830401fffffffff",149.753,75.273
3,"830402fffffffff",144.554,73.767
3,"830403fffffffff",148.622,74.13
3,"830404fffffffff",141.747,75.675
3,"830405fffffffff",146.288,76.087
